更新日期,#genre#
2025-08-17,https://gh.catmak.name/https://raw.githubusercontent.com/alantang1977/X/main/Pictures/Robot.mp4
🌐央视频道,#genre#
CCTV1,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路1
CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路2
CCTV1,http://111.61.101.141:199/hls/62/index.m3u8$IPV4•线路3
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$IPV4•线路4
CCTV1,http://live.catvod.com/catvod.php?id=cctv1$IPV4•线路5
CCTV1,http://60.174.40.117:85/tsfile/live/0001_1.m3u8?key=txiptv$IPV4•线路6
CCTV1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1$IPV4•线路7
CCTV1,http://58.17.48.228:808/hls/1/index.m3u8$IPV4•线路8
CCTV1,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8$IPV4•线路9
CCTV1,http://113.26.202.52:1299/tsfile/live/0001_1.m3u8$IPV4•线路10
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv$IPV4•线路11
CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8$IPV4•线路12
CCTV1,https://cc06.tv12.xyz/1.m3u8$IPV4•线路13
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$IPV4•线路14
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$IPV4•线路15
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$IPV4•线路16
CCTV1,http://106.52.196.79:80/TV/mui.php?id=cctv1$IPV4•线路17
CCTV1,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv1$IPV4•线路18
CCTV1,http://106.53.99.30/tv/20250803.php?id=CCTV1$IPV4•线路19
CCTV1,http://106.53.99.30/tv/api.php?id=cctv1$IPV4•线路20
CCTV1,http://106.53.99.30/tv/jzb.php?id=cctv1$IPV4•线路21
CCTV1,http://8.138.7.223/tv/migu2.php?id=1$IPV4•线路22
CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1$IPV4•线路23
CCTV1,http://60.29.124.66:6080/hls/12/index.m3u8$IPV4•线路24
CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8$IPV4•线路25
CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路26
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路27
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4•线路28
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8$IPV4•线路29
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8$IPV4•线路30
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8$IPV4•线路31
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8$IPV4•线路32
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$IPV4•线路33
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路34
CCTV1,http://218.89.240.144:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路35
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路36
CCTV1,http://8.138.7.223/tv/dl/douyincdn.php?id=1$IPV4•线路37
CCTV1,http://8.138.7.223/tv/dl/careryun.php?id=1$IPV4•线路38
CCTV1,http://www.freetv.top/migu/608807420.m3u8?migutoken=491f039071b1e5ca7ea22dab208a3373abd0aa38187ac74446778154f03126d09cf16f03bab30bbbe6b3654715b39584417cebbd010b1b65144b4d683dc814c330efffb70a09c7630ddbb49120$IPV4•线路39
CCTV1,http://zqh2333.top:2222/rtp/239.93.24.184:5140$IPV4•线路40
CCTV1,http://a21709.tv.netsite.cc/proxy/1387573383/1387573383.m3u8$IPV4•线路41
CCTV1,http://a21709.tv.netsite.cc/proxy/1464748337/1464748337.m3u8$IPV4•线路42
CCTV1,http://fm1077.serv00.net/Smart.php?id=cctv1$IPV4•线路43
CCTV1,https://tv.iill.top/migu/cctv1$IPV4•线路44
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344$IPV4•线路45
CCTV1,http://8.138.7.223/tv/mgitv.php?id=1$IPV4•线路46
CCTV1,http://8.138.7.223/tv/mgitv.php?id=2$IPV4•线路47
CCTV1,http://8.138.7.223/tv/mgitv.php?id=3$IPV4•线路48
CCTV1,http://8.138.7.223/tv/mgitv.php?id=4$IPV4•线路49
CCTV1,http://8.138.7.223/tv/mgitv.php?id=5$IPV4•线路50
CCTV1,http://8.138.7.223/tv/mgitv.php?id=6$IPV4•线路51
CCTV1,http://8.138.7.223/tv/mgitv.php?id=7$IPV4•线路52
CCTV1,https://tv-1.iill.top/migu/cctv1$IPV4•线路53
CCTV1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8$IPV4•线路54
CCTV1,http://3501776.xyz:35455/bptv/10000100000000050000000003864351.m3u8$IPV4•线路55
CCTV1,http://xiaoya.crccxw.top:35455/bptv/10000100000000050000000003864351.m3u8$IPV4•线路56
CCTV1,http://8.138.7.223/tv/hot.php?id=1$IPV4•线路57
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$IPV4•线路58
CCTV1,https://cdn5.163189.xyz/live/cctv1/stream.m3u8$IPV4•线路59
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.86:5146$IPV4•线路60
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.14:5146$IPV4•线路61
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.119:5146$IPV4•线路62
CCTV1,http://ygbh.site/php/bfgd.php?id=488$IPV4•线路63
CCTV1,http://ygbh.site/php/bfgd.php?id=201$IPV4•线路64
CCTV1,http://ygbh.site/php/bfgd.php?id=484$IPV4•线路65
CCTV1,http://ygbh.site/php/bfgd.php?id=489$IPV4•线路66
CCTV1,http://sh.lnott.top:880/dx01.m3u8$IPV4•线路67
CCTV1,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$IPV4•线路68
CCTV1,http://113.57.111.4:1111/tsfile/live/1000_1.m3u8$IPV4•线路69
CCTV1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8$IPV4•线路70
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8$IPV4•线路71
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8$IPV4•线路72
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8$IPV4•线路73
CCTV1,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8$IPV4•线路74
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8$IPV4•线路75
CCTV1,http://218.89.240.144:59901/tsfile/live/0001_1.m3u8$IPV4•线路76
CCTV1,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8$IPV4•线路77
CCTV1,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8$IPV4•线路78
CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8$IPV4•线路79
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=b3eXPo&tk=FgM0vQMejxvG$IPV4•线路80
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=BovPet&tk=FgM0vQMejxvG$IPV4•线路81
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=sPzAe7&tk=FgM0vQMejxvG$IPV4•线路82
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=VaAaU1&tk=FgM0vQMejxvG$IPV4•线路83
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ol4Xj9&tk=FgM0vQMejxvG$IPV4•线路84
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=DASpOl&tk=FgM0vQMejxvG$IPV4•线路85
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GRslVT&tk=FgM0vQMejxvG$IPV4•线路86
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=PldLrS&tk=FgM0vQMejxvG$IPV4•线路87
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=M8UbAJ&tk=FgM0vQMejxvG$IPV4•线路88
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8$IPV4•线路89
CCTV1,http://221.205.207.120:9003/hls/1/index.m3u8$IPV4•线路90
CCTV1,http://171.118.79.3:9003/hls/1/index.m3u8$IPV4•线路91
CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路92
CCTV1,http://223.109.75.19:8000/057754/index.m3u8$IPV4•线路93
CCTV1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8$IPV4•线路94
CCTV1,http://36.105.100.208:35455/bptv/10000100000000050000000003864351.m3u8$IPV4•线路95
CCTV1,http://106.53.99.30/tv/20250717.php?id=0001$IPV4•线路96
CCTV1,http://n1.gzbody.com:85/rtp/239.77.1.144:5146$IPV4•线路97
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8$IPV4•线路98
CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路99
CCTV1,http://221.13.235.100:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路100
CCTV1,http://115.48.160.227:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路101
CCTV1,http://101.66.199.144:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路102
CCTV1,http://125.125.234.156:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路103
CCTV1,https://mursor.ottiptv.cc/gptv/G_CCTV-1-HD-265-8M.m3u8$IPV4•线路104
CCTV1,http://182.113.6.210:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路105
CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路106
CCTV1,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fhtv_cctv1.flv$IPV4•线路107
CCTV1,http://nas.suntao.online:35455/itv/6000000001000029752.m3u8?cdn=wasusyt$IPV4•线路108
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8$IPV4•线路109
CCTV1,http://221.13.235.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路110
CCTV1,http://101.66.199.251:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路111
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路112
CCTV1,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8$IPV4•线路113
CCTV1,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227607/1.m3u8?HlsProfileId=$IPV4•线路114
CCTV1,https://60.191.56.186:8888/hls/1/index.m3u8$IPV4•线路115
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1$IPV4•线路116
CCTV1,http://106.52.196.79:80/TV/mui.php?id=cctv1$IPV4•线路117
CCTV1,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv1$IPV4•线路118
CCTV2,http://112.132.10.54:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路1
CCTV2,http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路2
CCTV2,http://111.61.101.141:199/hls/63/index.m3u8$IPV4•线路3
CCTV2,http://live.catvod.com/catvod.php?id=cctv2$IPV4•线路4
CCTV2,http://60.174.40.117:85/tsfile/live/0002_1.m3u8?key=txiptv$IPV4•线路5
